timestamp_utc,doppler_hz,snr_db
2026-01-19T00:00:30Z,-0.4338,63.2
2026-01-19T00:01:30Z,-0.4759,63.0
2026-01-19T00:02:30Z,-0.5018,61.6
2026-01-19T00:03:30Z,-0.4944,67.9
2026-01-19T00:04:30Z,-0.4174,59.8
2026-01-19T00:05:30Z,-0.3238,60.3
2026-01-19T00:06:30Z,-0.2604,59.1
2026-01-19T00:07:30Z,-0.1616,63.0
2026-01-19T00:08:30Z,-0.1605,59.3
2026-01-19T00:09:30Z,-0.1858,62.6
2026-01-19T00:10:30Z,-0.2528,65.5
2026-01-19T00:11:30Z,-0.2932,62.5
2026-01-19T00:12:30Z,-0.3225,53.1
2026-01-19T00:13:30Z,-0.3335,61.7
2026-01-19T00:14:30Z,-0.3136,59.3
2026-01-19T00:15:30Z,-0.2749,59.2
2026-01-19T00:16:30Z,-0.1962,61.5
2026-01-19T00:17:30Z,-0.0661,61.4
2026-01-19T00:18:30Z,0.1235,57.9
2026-01-19T00:19:30Z,0.1821,62.7
2026-01-19T00:20:30Z,0.1965,60.3
2026-01-19T00:21:30Z,0.1651,63.9
2026-01-19T00:22:30Z,0.1441,63.9
2026-01-19T00:23:30Z,0.0788,62.1
2026-01-19T00:24:30Z,0.0301,62.3
2026-01-19T00:25:30Z,0.0156,62.5
2026-01-19T00:26:30Z,0.0032,59.5
2026-01-19T00:27:30Z,0.0351,64.4
2026-01-19T00:28:30Z,0.0893,61.9
2026-01-19T00:29:30Z,0.12,62.6
2026-01-19T00:30:30Z,0.1349,62.9
2026-01-19T00:31:30Z,0.0788,61.8
2026-01-19T00:32:30Z,0.0549,57.4
2026-01-19T00:33:30Z,0.041,59.0
2026-01-19T00:34:30Z,0.0134,63.1
2026-01-19T00:35:30Z,0.0676,61.6
2026-01-19T00:36:30Z,0.1308,61.7
2026-01-19T00:37:30Z,0.2252,61.4
2026-01-19T00:38:30Z,0.2812,63.1
2026-01-19T00:39:30Z,0.2866,62.0
2026-01-19T00:40:30Z,0.319,61.3
2026-01-19T00:41:30Z,0.3563,59.8
2026-01-19T00:42:30Z,0.4327,46.5
2026-01-19T00:43:30Z,0.442,60.4
2026-01-19T00:44:30Z,0.4401,59.7
2026-01-19T00:45:30Z,0.4449,60.3
2026-01-19T00:46:30Z,0.4507,50.8
2026-01-19T00:47:30Z,0.4602,62.8
2026-01-19T00:48:30Z,0.4914,64.4
2026-01-19T00:49:30Z,0.5141,62.1
2026-01-19T00:50:30Z,0.6952,67.8
2026-01-19T00:51:30Z,0.6639,66.0
2026-01-19T00:52:30Z,0.5525,62.8
2026-01-19T00:53:30Z,0.4192,59.7
2026-01-19T00:54:30Z,0.5424,60.3
2026-01-19T00:55:30Z,0.4691,61.1
2026-01-19T00:56:30Z,0.4347,63.6
2026-01-19T00:57:30Z,0.3739,60.9
2026-01-19T00:58:30Z,0.3329,63.4
2026-01-19T00:59:30Z,0.2402,61.8
2026-01-19T01:00:30Z,0.2043,62.1
2026-01-19T01:01:30Z,0.1687,62.2
2026-01-19T01:02:30Z,0.2042,59.8
2026-01-19T01:03:30Z,0.199,62.5
2026-01-19T01:04:30Z,0.2264,58.1
2026-01-19T01:05:30Z,0.1934,56.6
2026-01-19T01:06:30Z,0.1403,59.3
2026-01-19T01:07:30Z,0.0964,59.1
2026-01-19T01:08:30Z,0.0034,53.3
2026-01-19T01:09:30Z,-0.0797,58.1
2026-01-19T01:10:30Z,-0.0716,60.1
2026-01-19T01:11:30Z,-0.0399,57.2
2026-01-19T01:12:30Z,-0.0298,60.3
2026-01-19T01:13:30Z,-0.086,55.5
2026-01-19T01:14:30Z,-0.1779,59.8
