timestamp_utc,doppler_hz,snr_db
2026-01-19T00:00:30Z,-0.222,0.0
2026-01-19T00:01:30Z,-0.2285,50.4
2026-01-19T00:02:30Z,-0.2629,56.1
2026-01-19T00:03:30Z,-0.2796,61.3
2026-01-19T00:04:30Z,-0.2456,52.6
2026-01-19T00:05:30Z,-0.1988,59.0
2026-01-19T00:06:30Z,-0.1479,54.9
2026-01-19T00:07:30Z,-0.1148,50.9
2026-01-19T00:08:30Z,-0.1047,47.4
2026-01-19T00:09:30Z,-0.1031,58.3
2026-01-19T00:10:30Z,-0.0932,54.1
2026-01-19T00:11:30Z,-0.0795,58.3
2026-01-19T00:12:30Z,-0.0739,56.7
2026-01-19T00:13:30Z,-0.0783,59.1
2026-01-19T00:14:30Z,-0.0857,56.4
2026-01-19T00:15:30Z,-0.1098,56.3
2026-01-19T00:16:30Z,-0.132,57.6
2026-01-19T00:17:30Z,-0.1706,58.6
2026-01-19T00:18:30Z,-0.2014,53.6
2026-01-19T00:19:30Z,-0.2421,56.1
2026-01-19T00:20:30Z,-0.2713,55.4
2026-01-19T00:21:30Z,-0.285,57.3
2026-01-19T00:22:30Z,-0.2849,57.0
2026-01-19T00:23:30Z,-0.2945,58.4
2026-01-19T00:24:30Z,-0.3284,55.4
2026-01-19T00:25:30Z,-0.3909,57.1
2026-01-19T00:26:30Z,-0.4435,56.6
2026-01-19T00:27:30Z,-0.451,56.8
2026-01-19T00:28:30Z,-0.4537,55.9
2026-01-19T00:29:30Z,-0.4945,56.2
2026-01-19T00:30:30Z,-0.6059,57.2
2026-01-19T00:31:30Z,-0.6481,57.4
2026-01-19T00:32:30Z,-0.682,56.3
2026-01-19T00:33:30Z,-0.7197,59.5
2026-01-19T00:34:30Z,-0.737,59.0
2026-01-19T00:35:30Z,-0.7669,61.1
2026-01-19T00:36:30Z,-0.7855,59.1
2026-01-19T00:37:30Z,-0.7839,62.5
2026-01-19T00:38:30Z,-0.7916,54.9
2026-01-19T00:39:30Z,-0.8393,59.1
2026-01-19T00:40:30Z,-0.8459,56.5
2026-01-19T00:41:30Z,-0.8173,55.1
2026-01-19T00:42:30Z,-0.7551,54.4
2026-01-19T00:43:30Z,-0.6552,55.4
2026-01-19T00:44:30Z,-0.471,56.6
2026-01-19T00:45:30Z,-0.3677,57.7
2026-01-19T00:46:30Z,-0.282,54.4
2026-01-19T00:47:30Z,-0.2222,57.6
2026-01-19T00:48:30Z,-0.1755,56.6
2026-01-19T00:49:30Z,-0.0932,56.2
2026-01-19T00:50:30Z,-0.0427,57.9
2026-01-19T00:51:30Z,-0.0214,56.8
2026-01-19T00:52:30Z,-0.0187,56.7
2026-01-19T00:53:30Z,0.0059,48.1
2026-01-19T00:54:30Z,0.0867,54.7
2026-01-19T00:55:30Z,0.138,53.9
2026-01-19T00:56:30Z,0.2421,52.4
2026-01-19T00:57:30Z,0.2818,55.2
2026-01-19T00:58:30Z,0.2968,55.5
2026-01-19T00:59:30Z,0.2769,54.1
2026-01-19T01:00:30Z,0.2634,54.5
2026-01-19T01:01:30Z,0.2808,54.7
2026-01-19T01:02:30Z,0.3491,51.4
2026-01-19T01:03:30Z,0.3864,55.1
2026-01-19T01:04:30Z,0.4415,53.3
2026-01-19T01:05:30Z,0.525,42.0
2026-01-19T01:06:30Z,0.5994,57.5
2026-01-19T01:07:30Z,0.651,55.3
2026-01-19T01:08:30Z,0.6589,52.1
2026-01-19T01:09:30Z,0.6484,50.1
2026-01-19T01:10:30Z,0.6388,54.4
2026-01-19T01:11:30Z,0.6047,48.5
2026-01-19T01:12:30Z,0.5559,49.1
2026-01-19T01:13:30Z,0.5044,47.8
2026-01-19T01:14:30Z,0.4676,47.3
