timestamp_utc,doppler_hz,snr_db
2026-01-19T00:00:30Z,0.2531,0.0
2026-01-19T00:01:30Z,0.235,57.7
2026-01-19T00:02:30Z,0.2203,58.4
2026-01-19T00:03:30Z,0.2223,61.1
2026-01-19T00:04:30Z,0.2041,56.6
2026-01-19T00:05:30Z,0.1611,58.6
2026-01-19T00:06:30Z,0.0837,57.4
2026-01-19T00:07:30Z,0.0197,57.9
2026-01-19T00:08:30Z,-0.0199,53.6
2026-01-19T00:09:30Z,-0.034,57.2
2026-01-19T00:10:30Z,-0.0293,61.2
2026-01-19T00:11:30Z,-0.0386,58.7
2026-01-19T00:12:30Z,-0.0865,58.5
2026-01-19T00:13:30Z,-0.1461,57.7
2026-01-19T00:14:30Z,-0.1762,58.1
2026-01-19T00:15:30Z,-0.2029,58.1
2026-01-19T00:16:30Z,-0.2517,58.3
2026-01-19T00:17:30Z,-0.3232,59.9
2026-01-19T00:18:30Z,-0.3601,55.0
2026-01-19T00:19:30Z,-0.333,59.1
2026-01-19T00:20:30Z,-0.2889,59.4
2026-01-19T00:21:30Z,-0.2646,56.9
2026-01-19T00:22:30Z,-0.321,57.5
2026-01-19T00:23:30Z,-0.6827,53.6
2026-01-19T00:24:30Z,-0.7458,55.9
2026-01-19T00:25:30Z,-0.71,57.6
2026-01-19T00:26:30Z,-0.8203,57.4
2026-01-19T00:27:30Z,-0.8198,58.8
2026-01-19T00:28:30Z,-0.7324,55.7
2026-01-19T00:29:30Z,-0.6037,57.0
2026-01-19T00:30:30Z,-0.4148,56.5
2026-01-19T00:31:30Z,-0.2102,56.6
2026-01-19T00:32:30Z,-0.0819,59.2
2026-01-19T00:33:30Z,-0.0241,61.2
2026-01-19T00:34:30Z,-0.0154,58.8
2026-01-19T00:35:30Z,-0.0241,59.6
2026-01-19T00:36:30Z,-0.044,58.9
2026-01-19T00:37:30Z,-0.0391,59.4
2026-01-19T00:38:30Z,-0.0469,59.3
2026-01-19T00:39:30Z,-0.0587,58.1
2026-01-19T00:40:30Z,-0.0644,59.0
2026-01-19T00:41:30Z,-0.0385,58.6
2026-01-19T00:42:30Z,0.0071,58.7
2026-01-19T00:43:30Z,0.0376,60.9
2026-01-19T00:44:30Z,0.0229,57.5
2026-01-19T00:45:30Z,-0.0238,56.3
2026-01-19T00:46:30Z,-0.0448,57.4
2026-01-19T00:47:30Z,-0.1231,57.3
2026-01-19T00:48:30Z,-0.204,57.7
2026-01-19T00:49:30Z,-0.2693,56.9
2026-01-19T00:50:30Z,-0.377,56.0
2026-01-19T00:51:30Z,-0.474,59.1
2026-01-19T00:52:30Z,-0.5349,59.2
2026-01-19T00:53:30Z,-0.538,59.0
2026-01-19T00:54:30Z,-0.4477,57.1
2026-01-19T00:55:30Z,-0.3437,57.1
2026-01-19T00:56:30Z,-0.2269,56.5
2026-01-19T00:57:30Z,-0.1171,57.8
2026-01-19T00:58:30Z,-0.0013,56.7
2026-01-19T00:59:30Z,0.1095,58.2
2026-01-19T01:00:30Z,0.2429,57.5
2026-01-19T01:01:30Z,0.3743,57.8
2026-01-19T01:02:30Z,0.5056,56.5
2026-01-19T01:03:30Z,0.5717,60.1
2026-01-19T01:04:30Z,0.6319,56.4
2026-01-19T01:05:30Z,0.6493,59.1
2026-01-19T01:06:30Z,0.6092,56.4
2026-01-19T01:07:30Z,0.5434,59.7
2026-01-19T01:08:30Z,0.4882,53.3
2026-01-19T01:09:30Z,0.471,60.5
2026-01-19T01:10:30Z,0.5199,58.9
2026-01-19T01:11:30Z,0.5402,59.2
2026-01-19T01:12:30Z,0.5436,59.4
2026-01-19T01:13:30Z,0.5098,59.5
2026-01-19T01:14:30Z,0.4507,59.1
