tid_type,snr_db,epsilon,method,lock_pct,rms_s,bias_s,mae_s,mean_r,std_r
LSTID,30,0.0,fft,100.0,0.0,0.0,0.0,0.8115914988215224,0.03626129875622731
LSTID,30,0.0,autocorr,100.0,0.0,0.0,0.0,0.8089849209945581,0.04588392833897521
LSTID,30,0.1,fft,96.66666666666667,635.3581667059927,-116.0,116.0,0.8096192067364041,0.03253608494466867
LSTID,30,0.1,autocorr,100.0,0.0,0.0,0.0,0.8096866418950731,0.030671708472873996
LSTID,30,0.2,fft,100.0,0.0,0.0,0.0,0.8260155996982275,0.028079421206866906
LSTID,30,0.2,autocorr,100.0,0.0,0.0,0.0,0.8218092610734017,0.032534621369485345
LSTID,30,0.3,fft,100.0,0.0,0.0,0.0,0.824560208703284,0.029678432725928513
LSTID,30,0.3,autocorr,96.66666666666667,635.3581667059927,-116.0,116.0,0.8031630833057224,0.05020551087080286
LSTID,30,0.5,fft,100.0,0.0,0.0,0.0,0.8059002470927654,0.03151817312967096
LSTID,30,0.5,autocorr,76.66666666666667,1681.071087134628,-812.0,816.0,0.7158987174948828,0.10649690676134593
LSTID,30,0.7,fft,100.0,0.0,0.0,0.0,0.8034864100175434,0.031577997349163084
LSTID,30,0.7,autocorr,80.0,1552.0953578952551,-690.0,706.0,0.5855166988497653,0.1564914950382709
LSTID,30,1.0,fft,13.333333333333334,2656.719781986802,-1404.0,2220.0,0.40794396261213234,0.2140238112621071
LSTID,30,1.0,autocorr,43.333333333333336,2220.756627818546,-1316.0,1596.0,0.3656414809328457,0.20084635418301783
LSTID,40,0.0,fft,100.0,0.0,0.0,0.0,0.8100414066109302,0.031571337064677525
LSTID,40,0.0,autocorr,100.0,0.0,0.0,0.0,0.8099212210094701,0.031245104724472634
LSTID,40,0.1,fft,100.0,0.0,0.0,0.0,0.8158693973759484,0.030296134837222162
LSTID,40,0.1,autocorr,100.0,0.0,0.0,0.0,0.8157884387520381,0.030357004606481136
LSTID,40,0.2,fft,100.0,0.0,0.0,0.0,0.8093391043135572,0.028350008368947965
LSTID,40,0.2,autocorr,100.0,0.0,0.0,0.0,0.8067577151723122,0.03445430010923198
LSTID,40,0.3,fft,100.0,0.0,0.0,0.0,0.8231407010478728,0.029546799976421838
LSTID,40,0.3,autocorr,90.0,1100.472625738596,-348.0,348.0,0.7739084256571406,0.086456992114642
LSTID,40,0.5,fft,100.0,0.0,0.0,0.0,0.8181048355316222,0.03136155477824801
LSTID,40,0.5,autocorr,90.0,1100.6361796706485,-346.0,354.0,0.7226027759794321,0.11022392724898221
LSTID,40,0.7,fft,100.0,0.0,0.0,0.0,0.7981769550945848,0.03100174471460241
LSTID,40,0.7,autocorr,60.0,2204.2958059207936,-1394.0,1402.0,0.5768940047014088,0.12116668262794444
LSTID,40,1.0,fft,10.0,2587.106491816678,-1368.0,2156.0,0.37617591418888807,0.19240392761453343
LSTID,40,1.0,autocorr,36.666666666666664,2284.7056703216717,-1422.0,1662.0,0.3942995361347693,0.18286002529186532
LSTID,50,0.0,fft,100.0,0.0,0.0,0.0,0.8150388198658185,0.029478026011018874
